"com_code","com_annee","com_type","popleg_annee","popleg_mun","popleg_a_part","popleg_tot","popleg_date_maj"
"01418","2022","COM","2020","1103","27","1130","2023-01-02"
"01419","2022","COM","2020","6119","180","6299","2023-01-02"
"01420","2022","COM","2020","1664","8","1672","2023-01-02"
"01421","2022","COM","2020","734","15","749","2023-01-02"
"01422","2022","COM","2020","1354","36","1390","2023-01-02"
"01423","2022","COM","2020","1169","22","1191","2023-01-02"
"01424","2022","COM","2020","1823","44","1867","2023-01-02"
"01425","2022","COM","2020","284","7","291","2023-01-02"
"01426","2022","COM","2020","2506","55","2561","2023-01-02"
"01427","2022","COM","2020","6945","163","7108","2023-01-02"
"01428","2022","COM","2020","128","0","128","2023-01-02"
"01429","2022","COM","2020","714","15","729","2023-01-02"
"01430","2022","COM","2020","636","12","648","2023-01-02"
"01431","2022","COM","2020","1224","29","1253","2023-01-02"
"01432","2022","COM","2020","333","3","336","2023-01-02"
"01433","2022","COM","2020","306","4","310","2023-01-02"
"01434","2022","COM","2020","488","10","498","2023-01-02"
"01435","2022","COM","2020","2146","69","2215","2023-01-02"
"01436","2022","COM","2020","492","9","501","2023-01-02"
"01437","2022","COM","2020","221","5","226","2023-01-02"
"01439","2022","COM","2020","99","4","103","2023-01-02"
"01441","2022","COM","2020","743","18","761","2023-01-02"
"01443","2022","COM","2020","4946","94","5040","2023-01-02"
"01444","2022","COM","2020","1195","18","1213","2023-01-02"
"01445","2022","COM","2020","628","22","650","2023-01-02"
"01446","2022","COM","2020","1562","37","1599","2023-01-02"
"01447","2022","COM","2020","1345","31","1376","2023-01-02"
"01448","2022","COM","2020","394","7","401","2023-01-02"
"01449","2022","COM","2020","760","15","775","2023-01-02"
"01450","2022","COM","2020","3755","72","3827","2023-01-02"
"01451","2022","COM","2020","6665","152","6817","2023-01-02"
"01452","2022","COM","2020","1127","24","1151","2023-01-02"
"01453","2022","COM","2020","712","17","729","2023-01-02"
"01454","2022","COM","2020","1118","21","1139","2023-01-02"
"01456","2022","COM","2020","71","2","73","2023-01-02"
"01457","2022","COM","2020","3198","42","3240","2023-01-02"
"02001","2022","COM","2020","505","11","516","2023-01-02"
"02002","2022","COM","2020","602","13","615","2023-01-02"
"02003","2022","COM","2020","1019","26","1045","2023-01-02"
"02004","2022","COM","2020","185","5","190","2023-01-02"
"02005","2022","COM","2020","382","9","391","2023-01-02"
